Date,Temperature moyenne (°C),Precipitation (mm),Humidite moyenne (%)
2014-12-01,13.700082,0.2,90.43232
2014-12-02,14.166749,1.7000002,86.306145
2014-12-03,12.760501,7.6999993,92.4398
2014-12-04,11.9521675,9.8,86.91669
2014-12-05,11.660497,0.5,82.77865
2014-12-06,10.610499,0.0,81.43937
2014-12-07,10.227166,0.0,76.335365
2014-12-08,9.189666,0.0,75.044426
2014-12-09,10.072999,0.0,79.118004
2014-12-10,10.979249,0.0,81.23829
2014-12-11,10.798,0.0,75.53257
2014-12-12,12.354248,0.0,77.74949
2014-12-13,13.031331,7.7000003,72.128624
2014-12-14,9.404249,7.8999996,88.306305
2014-12-15,10.862583,13.300001,95.180244
2014-12-16,11.637585,7.1000004,92.08881
2014-12-17,13.010499,0.7,90.218605
2014-12-18,11.737584,0.0,88.2291
2014-12-19,11.0605,0.0,90.77243
2014-12-20,10.889667,0.0,92.34116
2014-12-21,11.9855,0.0,90.786316
2014-12-22,11.952165,0.0,90.86213
2014-12-23,12.000083,0.0,92.314186
2014-12-24,12.281334,0.0,89.30936
2014-12-25,10.702167,0.0,88.51855
2014-12-26,10.047999,0.0,87.76922
2014-12-27,9.39175,0.0,84.89727
2014-12-28,10.42925,0.0,82.50799
2014-12-29,10.508417,1.1,85.783775
2014-12-30,9.808417,0.0,72.48248
2014-12-31,10.26675,0.0,75.2683
2015-01-01,9.777165,0.0,76.91842
2015-01-02,9.427167,0.0,76.64163
2015-01-03,9.893834,0.0,76.57328
2015-01-04,10.533417,0.0,79.58193
2015-01-05,9.558415,0.0,87.44665
2015-01-06,10.558415,0.0,84.77726
2015-01-07,9.777167,0.0,81.47154
2015-01-08,9.90425,0.0,81.411964
2015-01-09,11.575084,0.0,64.59943
2015-01-10,12.083416,0.0,56.51752
2015-01-11,11.385501,0.0,69.79611
2015-01-12,14.120918,0.0,72.617455
2015-01-13,15.333416,0.0,70.76491
2015-01-14,13.364666,0.4,82.49404
2015-01-15,12.175083,0.0,86.4328
2015-01-16,10.148001,12.600001,89.67471
2015-01-17,8.108417,3.2000003,85.2235
2015-01-18,8.845917,6.5000005,85.81
2015-01-19,9.483418,9.299999,80.9508
2015-01-20,8.91675,14.5,79.253975
2015-01-21,8.564666,5.599999,83.484764
2015-01-22,9.723001,13.2,92.9786
2015-01-23,10.473,3.5999994,90.463165
2015-01-24,9.920917,0.0,81.31518
2015-01-25,9.583417,0.0,81.82984
2015-01-26,9.339666,0.0,82.89012
2015-01-27,9.177167,0.0,85.126595
2015-01-28,9.485499,0.0,85.539345
2015-01-29,10.033416,0.0,85.489044
2015-01-30,12.37925,0.0,86.99285
2015-01-31,12.977165,5.7000003,91.188354
2015-02-01,9.339667,0.0,71.94804
2015-02-02,8.20425,0.0,74.5696
2015-02-03,9.475083,0.0,84.10082
2015-02-04,9.312584,9.0,87.65275
2015-02-05,7.620917,0.1,69.60555
2015-02-06,6.1750846,1.2,80.16219
2015-02-07,7.358418,0.2,85.20649
